SessionID,CourseID,Type,Day,StartTime,EndTime,Room,InstructorID,InstructorName,Sections,StudentCount
S35,MTH111,Lab,Monday,10:45 AM,12:15 PM,B07 F1.24,A01,BAS Department Staff,CSIT-1-s8,25
S46,PHY113,Lab,Monday,10:45 AM,12:15 PM,B09 F1.05,A06,Eng. Fatima Ali,CSIT-1-s7,25
S53,LRA104,Lecture,Monday,10:45 AM,12:15 PM,B17 F1.15,P03,Dr. Aisha Khan,"CSIT-1-s4, CSIT-1-s5, CSIT-1-s6",75
S55,LRA105,Lecture,Monday,10:45 AM,12:15 PM,B26 F1.16,P33,Dr. Omar Sharif,"CSIT-1-s1, CSIT-1-s2, CSIT-1-s3",75
S86,CSE214,Lab,Monday,10:45 AM,12:15 PM,B10 F1.11,A08,Eng. Heba Abdelkader,CSIT-2-s5,25
S111,ACM215,Lab,Monday,10:45 AM,12:15 PM,B10 F1.06,A44,Eng. Layla Zayd,CSIT-2-s6,25
S119,LRA403,Lab,Monday,10:45 AM,12:15 PM,B17 F1.09,A40,Prof. Lina Morales,CSIT-2-s2,25
S120,LRA403,Lab,Monday,10:45 AM,12:15 PM,B07 F1.20,A38,Prof. Yumi Sato,CSIT-2-s3,25
S144,ECE324,Lab,Monday,10:45 AM,12:15 PM,B18 G.04,A02,ECE Department Staff,CSIT-3-AID-s3,25
S158,CNC311,Lab,Monday,10:45 AM,12:15 PM,B17 G.07,A15,Eng. Nada Hamdy,CSIT-3-CNC-s2,25
S159,CNC311,Lab,Monday,10:45 AM,12:15 PM,B10 F1.08,A33,Eng. Hana Tarek,CSIT-3-CNC-s3,25
S176,AID311,Lab,Monday,10:45 AM,12:15 PM,B25 G.16,A28,Eng. Omar Hassan,CSIT-3-AID-s1,25
S188,CSC317,Lab,Monday,10:45 AM,12:15 PM,B25 F1.18,A37,Eng. Nora Gamal,CSIT-3-CNC-s1,25
S194,CSC317,Lecture,Monday,10:45 AM,12:15 PM,B08 G.41,P19,Dr. Hataba,"CSIT-3-CSC-s1, CSIT-3-CSC-s2",40
S207,AID413,Lab,Monday,10:45 AM,12:15 PM,B07 F1.21,A13,Eng. Nada Ahmed,CSIT-4-AID-s2,25
S222,CNC411,Lab,Monday,10:45 AM,12:15 PM,B26 F1.12,A35,Eng. Maryam Essam,CSIT-4-CNC-s1,25
S242,CSC410,Lab,Monday,10:45 AM,12:15 PM,B25 G.17,A42,Eng. Fatima Ali,CSIT-4-CSC-s1,25
S263,BIF413,Lecture,Monday,10:45 AM,12:15 PM,B17 F1.13,P23,Prof. Marghany Hassan,CSIT-4-BIF-s1,15
S12,CSC111,Lab,Monday,12:30 PM,2:00 PM,B17 G.20,A14,Eng. Nada Essam,CSIT-1-s9,25
S33,MTH111,Lab,Monday,12:30 PM,2:00 PM,B07 F1.02,A01,BAS Department Staff,CSIT-1-s6,25
S58,LRA401,Lab,Monday,12:30 PM,2:00 PM,B18 G.04,A40,Prof. Lina Morales,CSIT-1-s1,25
S65,LRA401,Lab,Monday,12:30 PM,2:00 PM,B10 F1.08,A38,Prof. Yumi Sato,CSIT-1-s8,25
S89,CSE214,Lab,Monday,12:30 PM,2:00 PM,B07 F1.24,A17,Eng. Omnya Ramadan,CSIT-2-s8,25
S104,ACM215,Lecture,Monday,12:30 PM,2:00 PM,B17 F1.16,P04,Dr. Ahmed Abdel-Malk,"CSIT-2-s4, CSIT-2-s5, CSIT-2-s6",75
S115,LRA306,Lecture,Monday,12:30 PM,2:00 PM,B26 G.08,P34,Prof. LBA,"CSIT-2-s1, CSIT-2-s2, CSIT-2-s3",75
S131,AID312,Lab,Monday,12:30 PM,2:00 PM,B18 F1.12,A28,Eng. Omar Hassan,CSIT-3-AID-s2,25
S138,AID312,Lab,Monday,12:30 PM,2:00 PM,B17 F1.13,A16,Eng. Nourhan Waleed,CSIT-3-BIF-s1,15
S169,CNC314,Lab,Monday,12:30 PM,2:00 PM,B17 F1.14,A33,Eng. Hana Tarek,CSIT-3-CNC-s1,25
S178,AID311,Lab,Monday,12:30 PM,2:00 PM,B17 G.21,A12,Eng. Menna Mahmoud,CSIT-3-AID-s3,25
S186,CNC312,Lab,Monday,12:30 PM,2:00 PM,B07 F1.23,A03,Eng. Alaa Essam,CSIT-3-CNC-s3,25
S193,CSC314,Lab,Monday,12:30 PM,2:00 PM,B18 G.20,A24,Eng. Yousef Ali,CSIT-3-CSC-s2,15
S208,AID413,Lab,Monday,12:30 PM,2:00 PM,B26 G.03,A13,Eng. Nada Ahmed,CSIT-4-AID-s3,25
S210,AID417,Lab,Monday,12:30 PM,2:00 PM,B10 F1.11,A07,Eng. Fatma Elsayed,CSIT-4-AID-s1,25
S215,AID427,Lab,Monday,12:30 PM,2:00 PM,B18 G.12,A06,Eng. Fatima Ali,CSIT-4-AID-s2,25
S221,CNC411,Lecture,Monday,12:30 PM,2:00 PM,B8 Theater,P06,Dr. Ahmed Arafa,"CSIT-4-CNC-s1, CSIT-4-CNC-s2, CSIT-4-CNC-s3",75
S243,CSC410,Lab,Monday,12:30 PM,2:00 PM,B17 G.19,A42,Eng. Fatima Ali,CSIT-4-CSC-s2,15
S266,BIF424,Lab,Monday,12:30 PM,2:00 PM,B08 F1.10,A26,Eng. Zayd Tarek,CSIT-4-BIF-s1,15
S14,ECE111,Lecture,Monday,2:15 PM,3:45 PM,B26 F1.13,P08,Prof. Ahmed Allam,"CSIT-1-s4, CSIT-1-s5, CSIT-1-s6",75
S39,PHY113,Lecture,Monday,2:15 PM,3:45 PM,B17 G.09,P01,Dr. Adel Fathy,"CSIT-1-s7, CSIT-1-s8, CSIT-1-s9",75
S42,PHY113,Lab,Monday,2:15 PM,3:45 PM,B18 F1.12,A06,Eng. Fatima Ali,CSIT-1-s3,25
S84,CSE214,Lab,Monday,2:15 PM,3:45 PM,B08 F1.10,A08,Eng. Heba Abdelkader,CSIT-2-s3,25
S97,MTH212,Lab,Monday,2:15 PM,3:45 PM,B18 G.04,A01,BAS Department Staff,CSIT-2-s4,25
S126,LRA403,Lab,Monday,2:15 PM,3:45 PM,B17 G.20,A38,Prof. Yumi Sato,CSIT-2-s9,25
S134,AID312,Lab,Monday,2:15 PM,3:45 PM,B17 F1.17,A28,Eng. Omar Hassan,CSIT-3-CNC-s2,25
S139,ECE324,Lecture,Monday,2:15 PM,3:45 PM,B17 F1.16,P04,Dr. Ahmed Abdel-Malk,"CSIT-3-AID-s1, CSIT-3-AID-s2, CSIT-3-AID-s3",75
S147,ECE324,Lab,Monday,2:15 PM,3:45 PM,B18 F1.08,A02,ECE Department Staff,CSIT-3-CNC-s3,25
S172,CNC314,Lab,Monday,2:15 PM,3:45 PM,B18 F1.02,A33,Eng. Hana Tarek,CSIT-3-CSC-s1,25
S184,CNC312,Lab,Monday,2:15 PM,3:45 PM,B26 F1.04,A03,Eng. Alaa Essam,CSIT-3-CNC-s1,25
S196,CSC317,Lab,Monday,2:15 PM,3:45 PM,B07 F1.21,A13,Eng. Nada Ahmed,CSIT-3-CSC-s2,15
S198,BIF311,Lab,Monday,2:15 PM,3:45 PM,B07 F1.24,A25,Eng. Hana Adel,CSIT-3-BIF-s1,15
S204,AID411,Lab,Monday,2:15 PM,3:45 PM,B17 G.08,A29,Eng. Fatima Ali,CSIT-4-AID-s3,25
S234,CNC418,Lab,Monday,2:15 PM,3:45 PM,B26 G.03,A41,Eng. Omar Hassan,CSIT-4-CNC-s1,25
S258,CSC426,Lab,Monday,2:15 PM,3:45 PM,B17 F1.18,A42,Eng. Fatima Ali,CSIT-4-CSC-s2,15
S259,BIF411,Lecture,Monday,2:15 PM,3:45 PM,B08 F1.07,P39,Dr. Sameh Sherif,CSIT-4-BIF-s1,15
S6,CSC111,Lab,Monday,9:00 AM,10:30 AM,B07 F1.20,A10,Eng. Mariam Ismael,CSIT-1-s3,25
S17,ECE111,Lab,Monday,9:00 AM,10:30 AM,B10 F1.08,A02,ECE Department Staff,CSIT-1-s2,25
S26,MTH111,Lecture,Monday,9:00 AM,10:30 AM,B8 Theater,P14,Dr. Ayman Arafa,"CSIT-1-s4, CSIT-1-s5, CSIT-1-s6",75
S48,PHY113,Lab,Monday,9:00 AM,10:30 AM,B17 F1.14,A06,Eng. Fatima Ali,CSIT-1-s9,25
S64,LRA401,Lab,Monday,9:00 AM,10:30 AM,B09 F1.14,A40,Prof. Lina Morales,CSIT-1-s7,25
S81,CSE214,Lecture,Monday,9:00 AM,10:30 AM,B26 F1.08,P30,Prof. Mostafa Soliman,"CSIT-2-s7, CSIT-2-s8, CSIT-2-s9",75
S85,CSE214,Lab,Monday,9:00 AM,10:30 AM,B07 F1.23,A08,Eng. Heba Abdelkader,CSIT-2-s4,25
S96,MTH212,Lab,Monday,9:00 AM,10:30 AM,B17 G.21,A01,BAS Department Staff,CSIT-2-s3,25
S123,LRA403,Lab,Monday,9:00 AM,10:30 AM,B17 F1.09,A38,Prof. Yumi Sato,CSIT-2-s6,25
S130,AID312,Lab,Monday,9:00 AM,10:30 AM,B26 F1.03,A28,Eng. Omar Hassan,CSIT-3-AID-s1,25
S141,ECE324,Lecture,Monday,9:00 AM,10:30 AM,B17 F1.16,P04,Dr. Ahmed Abdel-Malk,"CSIT-3-CNC-s3, CSIT-3-CSC-s1, CSIT-3-CSC-s2",65
S157,CNC311,Lab,Monday,9:00 AM,10:30 AM,B18 G.12,A07,Eng. Fatma Elsayed,CSIT-3-CNC-s1,25
S170,CNC314,Lab,Monday,9:00 AM,10:30 AM,B17 G.20,A20,Eng. Salma Alashry,CSIT-3-CNC-s2,25
S177,AID311,Lab,Monday,9:00 AM,10:30 AM,B17 F1.08,A12,Eng. Menna Mahmoud,CSIT-3-AID-s2,25
S197,BIF311,Lecture,Monday,9:00 AM,10:30 AM,B25 F1.10,P44,Prof. BAS,CSIT-3-BIF-s1,15
S203,AID411,Lab,Monday,9:00 AM,10:30 AM,B08 F1.10,A14,Eng. Nada Essam,CSIT-4-AID-s2,25
S223,CNC411,Lab,Monday,9:00 AM,10:30 AM,B07 F1.22,A35,Eng. Maryam Essam,CSIT-4-CNC-s2,25
S230,CNC415,Lab,Monday,9:00 AM,10:30 AM,B25 G.04,A41,Eng. Omar Hassan,CSIT-4-CNC-s1,25
S255,CSC415,Lab,Monday,9:00 AM,10:30 AM,B25 G.05,A42,Eng. Fatima Ali,CSIT-4-CSC-s2,15
S54,LRA104,Lecture,Sunday,10:45 AM,12:15 PM,B18 G.08,P03,Dr. Aisha Khan,"CSIT-1-s7, CSIT-1-s8, CSIT-1-s9",75
S60,LRA401,Lab,Sunday,10:45 AM,12:15 PM,B10 F1.08,A40,Prof. Lina Morales,CSIT-1-s3,25
S69,CSC211,Lecture,Sunday,10:45 AM,12:15 PM,B17 F1.03,P06,Dr. Ahmed Arafa,"CSIT-2-s7, CSIT-2-s8, CSIT-2-s9",75
S106,ACM215,Lab,Sunday,10:45 AM,12:15 PM,B26 G.06,A44,Eng. Layla Zayd,CSIT-2-s1,25
S145,ECE324,Lab,Sunday,10:45 AM,12:15 PM,B10 F1.06,A02,ECE Department Staff,CSIT-3-CNC-s1,25
S181,CSC317,Lab,Sunday,10:45 AM,12:15 PM,B26 G.12,A21,Eng. Salma Waleed,CSIT-3-AID-s2,25
S195,CSC317,Lab,Sunday,10:45 AM,12:15 PM,B18 F1.14,A37,Eng. Nora Gamal,CSIT-3-CSC-s1,25
S218,AID428,Lab,Sunday,10:45 AM,12:15 PM,B07 F1.01,A06,Eng. Fatima Ali,CSIT-4-AID-s1,25
S228,CNC413,Lab,Sunday,10:45 AM,12:15 PM,B18 F1.08,A41,Eng. Omar Hassan,CSIT-4-CNC-s3,25
S247,CSC412,Lecture,Sunday,10:45 AM,12:15 PM,B07 G.01,P13,Dr. Asmaa,"CSIT-4-CSC-s1, CSIT-4-CSC-s2",40
S267,BIF425,Lecture,Sunday,10:45 AM,12:15 PM,B26 G.13,P09,Prof. Ahmed Othman,CSIT-4-BIF-s1,15
S2,CSC111,Lecture,Sunday,12:30 PM,2:00 PM,B07 G.01,P35,Dr. Reda Elbasiony ,"CSIT-1-s4, CSIT-1-s5, CSIT-1-s6",75
S5,CSC111,Lab,Sunday,12:30 PM,2:00 PM,B10 F1.10,A14,Eng. Nada Essam,CSIT-1-s2,25
S28,MTH111,Lab,Sunday,12:30 PM,2:00 PM,B17 F1.13,A01,BAS Department Staff,CSIT-1-s1,25
S57,LRA105,Lecture,Sunday,12:30 PM,2:00 PM,B17 F1.16,P33,Dr. Omar Sharif,"CSIT-1-s7, CSIT-1-s8, CSIT-1-s9",75
S71,CSC211,Lab,Sunday,12:30 PM,2:00 PM,B25 F1.11,A13,Eng. Nada Ahmed,CSIT-2-s2,25
S72,CSC211,Lab,Sunday,12:30 PM,2:00 PM,B25 F1.18,A36,Eng. Adam Mohamed,CSIT-2-s3,25
